Typ zgłoszenia,Klucz zgłoszenia,Id. zgłoszenia,Podsumowanie,Osoba przypisana,ID osoby przypisanej,Osoba zgłaszająca,ID osoby zgłaszającej,Priorytet,Status,Rozwiązanie,Utworzono,Zaktualizowano,Termin
Zadanie,MA-210,10209,Review - Sprint 13,,,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,12/cze/23 10:33 AM,29/sty/25 7:14 PM,
Zadanie,MA-209,10208,Retrospective - Sprint 13,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,20/maj/23 2:43 PM,29/sty/25 7:14 PM,
Zadanie,MA-208,10207,Planning - Sprint 13,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,20/maj/23 2:43 PM,29/sty/25 7:14 PM,
Story,MA-207,10206,Include startDateTime parameter when filtering expired events,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Medium,Gotowe,Gotowe,19/maj/23 9:48 AM,29/sty/25 7:14 PM,
Story,MA-206,10205,Crashlytics,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Do zrobienia,,19/maj/23 8:38 AM,20/lis/25 5:02 PM,
Story,MA-205,10204,Add condition - comment required when changing status into 'On Hold',Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Medium,Gotowe,Gotowe,18/maj/23 9:32 AM,29/sty/25 7:14 PM,
Podzadanie,MA-204,10203,Resolve problems,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,17/maj/23 1:35 PM,29/sty/25 7:14 PM,
Podzadanie,MA-203,10202,Check problems in a project,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,17/maj/23 1:35 PM,29/sty/25 7:14 PM,
Story,MA-202,10201,Add on hold column,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,17/maj/23 10:34 AM,29/sty/25 7:14 PM,
Podzadanie,MA-201,10200,Add logging to project,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,16/maj/23 9:16 AM,29/sty/25 8:29 PM,
Podzadanie,MA-200,10199,Research logging to files in Flutter,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,16/maj/23 9:14 AM,29/sty/25 8:29 PM,
Podzadanie,MA-199,10198,Virtual Private Server (VPS) - Gdańsk DC-1 - flutterowo.pl (21-02-2023 - 20-05-2023),Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,16/maj/23 9:08 AM,29/sty/25 7:14 PM,
Podzadanie,MA-198,10197,Virtual Private Server (VPS) - flutterowo.pl (21-05-2023 - 20-08-2023),Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,,16/maj/23 9:04 AM,29/sty/25 7:14 PM,
Zadanie,MA-197,10196,Payments,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,W toku,,16/maj/23 9:04 AM,22/lis/25 9:15 PM,
Podzadanie,MA-196,10195,Make a description of the changes,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,15/maj/23 1:06 PM,29/sty/25 7:14 PM,
Podzadanie,MA-195,10194,"Refactor event cost class to widget, update unit tests",Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,15/maj/23 11:28 AM,29/sty/25 8:27 PM,
Podzadanie,MA-194,10193,Check bugs,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,15/maj/23 10:59 AM,29/sty/25 7:14 PM,
Podzadanie,MA-193,10192,Update Flutter to the new version,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,15/maj/23 10:59 AM,29/sty/25 7:14 PM,
Podzadanie,MA-192,10191,Find out how to update flutter,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,15/maj/23 10:57 AM,29/sty/25 7:14 PM,
Podzadanie,MA-191,10190,Update unit tests,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,15/maj/23 10:12 AM,29/sty/25 7:14 PM,
Podzadanie,MA-190,10189,Add new sport events in app,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,11/maj/23 12:02 PM,29/sty/25 8:27 PM,
Podzadanie,MA-189,10188,Integrate arb files into project,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,11/maj/23 10:29 AM,29/sty/25 7:14 PM,
Podzadanie,MA-188,10187,Create arb files,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,11/maj/23 10:29 AM,29/sty/25 7:14 PM,
Zadanie,MA-187,10186,Retrospective - Sprint 12,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,10/maj/23 6:42 PM,29/sty/25 7:14 PM,
Podzadanie,MA-186,10185,Run application in Android Studio,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,10/maj/23 4:39 PM,29/sty/25 7:14 PM,
Podzadanie,MA-185,10184,Add the project to the Android Studio,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,10/maj/23 4:36 PM,29/sty/25 7:14 PM,
Podzadanie,MA-184,10183,Clone the project repository on a local computer.,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,10/maj/23 4:35 PM,29/sty/25 7:14 PM,
Podzadanie,MA-183,10182,Join the project repository on GitLab,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Medium,Gotowe,Gotowe,10/maj/23 4:33 PM,29/sty/25 7:14 PM,
Story,MA-182,10181,Setup project for Albert,Albert Dolata,712020:8279b1dd-5065-4853-9397-d75d80c3bfb1,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,10/maj/23 12:29 PM,29/sty/25 7:14 PM,
Błąd w programie,MA-180,10179,Event icon is too big,Joanna Pawlaczyk,557058:636c4cd1-59ac-4c2e-9f21-fe7cd491416d,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,14/kwi/23 9:12 AM,29/sty/25 7:14 PM,
Zadanie,MA-179,10178,Planning - Sprint 12,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,04/kwi/23 1:26 PM,29/sty/25 7:14 PM,
Zadanie,MA-178,10177,Retrospective - Sprint 10,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,Gotowe,04/kwi/23 1:25 PM,29/sty/25 7:14 PM,
Story,MA-177,10176,Refactor backend - Sprint 27,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Gotowe,,04/kwi/23 1:23 PM,01/lut/25 7:40 PM,
Story,MA-176,10175,Refactor frontend - Sprint 14,,,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,04/kwi/23 1:22 PM,29/sty/25 8:28 PM,
Podzadanie,MA-175,10174,Find out how to remove getters and setters with spring rest,,,Flutterowo,5f311c73d0884f00495441b2,Medium,Odrzucono,,04/kwi/23 1:19 PM,29/sty/25 7:14 PM,
Błąd w programie,MA-174,10173,Pop-up overflow on small screens,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Flutterowo,5f311c73d0884f00495441b2,High,Gotowe,Gotowe,04/kwi/23 1:11 PM,29/sty/25 8:28 PM,
Podzadanie,MA-173,10172,Fix skill level translations,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,04/kwi/23 12:00 PM,29/sty/25 7:14 PM,
Podzadanie,MA-172,10171,Show time on details,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,03/kwi/23 1:01 PM,29/sty/25 7:14 PM,
Podzadanie,MA-171,10170,Show time on pop-up,,,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Odrzucono,,03/kwi/23 1:01 PM,29/sty/25 7:14 PM,
Podzadanie,MA-170,10169,Calculate how much time to event start,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Gotowe,Gotowe,03/kwi/23 1:01 PM,29/sty/25 7:14 PM,
